pH,Chlorine Content,Turbidity,Temperature C,Water Quality
7.4,2.8,0.6,24.0,Good
7.8,2.8,0.7,26.5,Good
7.0,0.8,3.2,22.3,Bad
7.2,2.8,0.8,28.0,Good
7.9,3.5,3.7,29.9,Bad
7.1,3.3,2.1,29.7,Bad
7.4,2.3,0.8,27.4,Good
7.0,0.7,2.0,28.4,Bad
7.4,2.3,0.7,26.2,Good
7.4,2.2,1.0,24.2,Good
8.0,0.7,2.0,29.3,Bad
7.6,2.8,0.1,25.1,Good
7.7,2.4,0.7,24.4,Good
7.7,1.2,0.5,27.8,Good
7.7,2.6,0.1,26.0,Good
7.1,3.5,3.4,28.9,Bad
7.7,1.5,0.7,24.3,Good
7.7,1.0,1.2,25.1,Good
7.5,2.4,1.0,25.1,Good
7.0,3.2,2.8,22.0,Bad
7.8,2.5,0.8,26.4,Good
7.8,0.6,4.4,29.1,Bad
7.4,2.6,0.5,27.7,Good
7.1,3.0,3.6,22.5,Bad
7.2,0.7,4.9,29.7,Bad
7.0,0.8,3.9,29.2,Bad
7.6,3.0,0.8,25.3,Good
7.0,0.5,3.4,22.9,Bad
7.1,0.9,2.6,28.7,Bad
7.1,3.5,3.7,21.4,Bad
7.8,1.8,1.4,27.6,Good
7.3,2.9,0.0,27.9,Good
7.3,3.0,0.6,25.5,Good
7.2,2.2,1.4,26.3,Good
7.7,2.6,1.5,25.7,Good
7.4,1.2,0.2,27.0,Good
7.2,2.1,0.7,27.6,Good
8.0,3.4,3.3,28.3,Bad
7.5,2.8,0.2,26.0,Good
7.0,0.5,4.9,28.9,Bad
7.9,0.5,2.8,29.7,Bad
7.3,1.1,0.2,24.1,Good
7.6,2.4,0.7,26.5,Good
7.8,1.7,0.4,27.5,Good
7.2,2.1,1.5,26.1,Good
7.7,1.9,1.1,27.0,Good
7.2,2.9,1.3,26.8,Good
7.3,2.8,0.8,27.3,Good
8.0,3.1,3.2,29.7,Bad
7.3,2.4,0.1,25.3,Good
7.4,1.3,0.2,25.0,Good
7.2,0.5,2.0,20.1,Bad
7.3,2.4,0.9,27.5,Good
7.0,3.4,4.1,29.7,Bad
7.4,1.7,1.0,27.0,Good
7.6,1.3,0.1,26.6,Good
7.7,2.9,1.5,27.0,Good
7.3,2.3,1.1,26.3,Good
7.5,1.9,0.3,25.7,Good
7.5,1.5,0.5,27.0,Good
7.8,2.1,0.9,25.8,Good
7.1,0.5,3.2,28.3,Bad
7.6,2.6,0.4,24.7,Good
7.2,1.9,0.1,24.5,Good
7.2,2.1,0.8,26.5,Good
7.8,0.6,3.6,21.4,Bad
7.6,1.2,0.1,26.8,Good
7.2,1.2,0.1,24.2,Good
7.6,1.2,1.5,27.9,Good
7.1,3.2,3.7,21.4,Bad
7.1,3.1,2.3,28.8,Bad
7.1,3.2,3.8,22.2,Bad
7.4,1.4,0.7,25.4,Good
7.2,2.6,1.1,24.3,Good
7.4,1.2,1.2,26.2,Good
